Player,Gross P/W (GBP/EUR),Gross P/W (USD),Gross P/Min(USD),Gross P/Y  (GBP/EUR),Gross P/Y (USD),Gross P/Y  (GBP/EUR) BONUS,Signed,Gross Remaining (USD),Status,Pos.,Pos.,Age,Country,Club,Competition,
Sean Longstaff,50000,63500,6.299603175,2600000,3302000,,44706,#REF!,Reserve,M,CM,26,England,Newcastle United,Premier League,
Tino Livramento,50000,63500,6.299603175,2600000,3302000,,45146,#REF!,Reserve,D,RB,21,England,Newcastle United,Premier League,
Taiwo Awoniyi,50000,63500,6.299603175,2600000,3302000,,44743,#REF!,Reserve,F,CF,27,Nigeria,Nottingham Forest,Premier League,
Ryan Yates,50000,63500,6.299603175,2600000,3302000,,45498,#REF!,Starter,M,CM,26,England,Nottingham Forest,Premier League,
Neco Williams,50000,63500,6.299603175,2600000,3302000,,44752,#REF!,Reserve,D,RB,23,Wales,Nottingham Forest,Premier League,
Micky van de Ven,50000,63500,6.299603175,2600000,3302000,,45146,#REF!,Starter,D,CB,23,Netherlands,Tottenham Hotspur,Premier League,
Djed Spence,50000,63500,6.299603175,2600000,3302000,,45582,#REF!,Reserve,D,RB,24,England,Tottenham Hotspur,Premier League,
Aaron Cresswell,50000,63500,6.299603175,2600000,3302000,,45448,#REF!,Reserve,D,LB,34,England,West Ham United,Premier League,
Konstantinos Mavropanos,50000,63500,6.299603175,2600000,3302000,,45160,#REF!,Reserve,D,CB,26,Greece,West Ham United,Premier League,
Matt Doherty,50000,63500,6.299603175,2600000,3302000,,45127,#REF!,Reserve,D,RB,32,Ireland,Wolverhampton Wanderers,Premier League,
Marc Roca,58269,62930.52,6.243107143,3030000,3272400,,45474,#REF!,Starter,M,DM,27,Spain,Real Betis,La Liga,
Rasmus Kristensen,58077,62723.16,6.222535714,3020000,3261600,,45492,#REF!,Starter,D,RB,27,Denmark,Eintracht Frankfurt,Bundesliga,
Ander Herrera,57692,62307.36,6.181285714,3000000,3240000,600000,45456,#REF!,Starter,M,CM,35,Spain,Athletic Bilbao,La Liga,
Wojciech Szczesny,57692,62307.36,6.181285714,3000000,3240000,,45567,#REF!,Reserve,K,GK,34,Poland,Barcelona,La Liga,
Sacha Boey,57692,62307.36,6.181285714,3000000,3240000,,45319,#REF!,Reserve,D,RB,23,France,Bayern Munich,Bundesliga,
Jamie Bynoe-Gittens,57692,62307.36,6.181285714,3000000,3240000,,45201,#REF!,Starter,F,LW,20,England,Borussia Dortmund,Bundesliga,
Jonas Omlin,57692,62307.36,6.181285714,3000000,3240000,,44945,#REF!,Reserve,K,GK,30,Switzerland,Borussia Monchengladbach,Bundesliga,
Brice Samba,57692,62307.36,6.181285714,3000000,3240000,,45135,#REF!,Starter,K,GK,30,France,Le Havre,Ligue 1,
Neal Maupay,57692,62307.36,6.181285714,3000000,3240000,,45534,#REF!,Reserve,F,CF,28,France,Lyon,Ligue 1,
Krépin Diatta,57692,62307.36,6.181285714,3000000,3240000,,44217,#REF!,Reserve,F,RW,25,Senegal,Marseille,Ligue 1,
Vanderson,57692,62307.36,6.181285714,3000000,3240000,,45324,#REF!,Starter,D,RB,23,Brazil,Marseille,Ligue 1,
Wahbi Khazri,57692,62307.36,6.181285714,3000000,3240000,,44743,#REF!,Starter,F,LW,33,Tunisia,Montpellier,Ligue 1,
Youssoufa Moukoko,57692,62307.36,6.181285714,3000000,3240000,3000000,45532,#REF!,Reserve,F,CF,19,Germany,Nice,Ligue 1,
Martín Zubimendi,57692,62307.36,6.181285714,3000000,3240000,,44848,#REF!,Starter,M,DM,25,Spain,Real Sociedad,La Liga,
Nayef Aguerd,57692,62307.36,6.181285714,3000000,3240000,,45534,#REF!,Starter,D,CB,28,Morocco,Real Sociedad,La Liga,
Dodi Lukébakio,57692,62307.36,6.181285714,3000000,3240000,,45162,#REF!,Starter,F,RW,26,Belgium,Sevilla,La Liga,
 Nicolás Otamendi         ,48462,61546.74,6.105827381,2520000,3200400,                 ," Jun 9, 2023      ",#REF!, Starter , D    , CB   ,36, Argentina                        ,Benfica,UEFA Champions League,
 Josip Sutalo                   ,48077,61057.79,6.057320437,2500000,3175000,                 ," Aug 20, 2023     ",#REF!, Starter , D    , CB   ,24, Croatia                          ,Ajax,UEFA Europa League,
 Bertrand Traoré                ,48077,61057.79,6.057320437,2500000,3175000,                 ," Jul 15, 2024     ",#REF!, Starter , F    , RW   ,28, Burkina Faso                     ,Ajax,UEFA Europa League,
 Wout Weghorst                  ,48077,61057.79,6.057320437,2500000,3175000,                 ," Aug 29, 2024     ",#REF!, Starter , F    , CF   ,32, Netherlands                      ,Ajax,UEFA Europa League,
 Leandro Barreiro Martins ,48077,61057.79,6.057320437,2500000,3175000,                 ," Jul 2, 2024      ",#REF!, Reserve , M    , CM   ,24, Luxembourg                       ,Benfica,UEFA Champions League,
 Jean Onana                ,48077,61057.79,6.057320437,2500000,3175000,                 ," Jul 21, 2023     ",#REF!, Starter , M    , DM   ,24, Cameroon                         ,Besiktas,UEFA Europa League,
Iago Aspas,55769,60230.52,5.97525,2900000,3132000,,44767,#REF!,Starter,F,CF,37,Spain,Celta Vigo,La Liga,
 Calvin Stengs                  ,47115,59836.05,5.936116071,2450000,3111500,                 ," Jul 26, 2023     ",#REF!, Reserve , F    , AM   ,25, Netherlands                      ,Feyenoord,UEFA Champions League,
Jonathan Tah,54423,58776.84,5.831035714,2830000,3056400,,44467,#REF!,Starter,D,CB,28,Germany,Bayer Leverkusen,Bundesliga,
Arthur Vermeeren,54423,58776.84,5.831035714,2830000,3056400,,45530,#REF!,Starter,M,CM,19,Belgium,RB Leipzig,Bundesliga,
Adam Hlozek,54423,58776.84,5.831035714,2830000,3056400,,45521,#REF!,Starter,F,SS,22,Czech Republic,TSG Hoffenheim,Bundesliga,
Dan-Axel Zagadou,54423,58776.84,5.831035714,2830000,3056400,,44823,#REF!,Reserve,D,CB,25,France,VfB Stuttgart,Bundesliga,
Ermedin Demirovic,54423,58776.84,5.831035714,2830000,3056400,,45489,#REF!,Reserve,F,CF,26,Bosnia-Herzegovina,VfB Stuttgart,Bundesliga,
El Bilal Touré,54423,58776.84,5.831035714,2830000,3056400,,45527,#REF!,Starter,F,CF,22,Mali,VfB Stuttgart,Bundesliga,
Mattias Svanberg,54423,58776.84,5.831035714,2830000,3056400,,44758,#REF!,Reserve,M,CM,25,Sweden,VfL Wolfsburg,Bundesliga,
 Viktor Gyökeres          ,46154,58615.58,5.815037698,2400000,3048000,1440000," Jul 13, 2023     ",#REF!, Starter , F    , CF   ,26, Sweden                           ,Sporting CP,UEFA Champions League,
 Pedro Gonçalves          ,46154,58615.58,5.815037698,2400000,3048000,                 ," Aug 16, 2023     ",#REF!, Starter , F    , LW   ,26, Portugal                         ,Sporting CP,UEFA Champions League,
Sebastiaan Bornauw,54231,58569.48,5.810464286,2820000,3045600,,44393,#REF!,Starter,D,CB,25,Belgium,VfL Wolfsburg,Bundesliga,
Callum Wilson,46000,58420,5.795634921,2392000,3037840,,45184,#REF!,Reserve,F,CF,32,England,Newcastle United,Premier League,
Ellyes Skhiri,53846,58153.68,5.769214286,2800000,3024000,,45112,#REF!,Starter,M,DM,29,Tunisia,Eintracht Frankfurt,Bundesliga,
Álex Remiro,53846,58153.68,5.769214286,2800000,3024000,,44741,#REF!,Starter,K,GK,29,Spain,Real Sociedad,La Liga,
Suso,53846,58153.68,5.769214286,2800000,3024000,,44033,#REF!,Reserve,F,RW,30,Spain,Sevilla,La Liga,
Jérémie Boga,53462,57738.96,5.728071429,2780000,3002400,,45132,#REF!,Starter,F,LW,27,Cote d'Ivoire,Nice,Ligue 1,
 Branco van den Boomen          ,45192,57393.84,5.693833333,2350000,2984500,                 ," Jul 1, 2023      ",#REF!, Reserve , M    , CM   ,29, Netherlands                      ,Ajax,UEFA Europa League,
 Dávid Hancko                   ,45192,57393.84,5.693833333,2350000,2984500,                 ," Feb 8, 2024      ",#REF!, Starter , D    , CB   ,26, Slovakia                         ,Feyenoord,UEFA Champions League,
 Ricardo Pepi                   ,45192,57393.84,5.693833333,2350000,2984500,                 ," Jul 7, 2023      ",#REF!, Reserve , F    , CF   ,21, United States                    ,PSV Eindhoven,UEFA Champions League,
Philip Billing,45000,57150,5.669642857,2340000,2971800,,45159,#REF!,Reserve,M,CM,28,Denmark,Bournemouth,Premier League,
Bryan Mbeumo,45000,57150,5.669642857,2340000,2971800,,44587,#REF!,Starter,F,RW,25,Cameroon,Brentford,Premier League,
Igor,45000,57150,5.669642857,2340000,2971800,,45133,#REF!,Reserve,D,CB,26,Brazil,Brighton & Hove Albion,Premier League,
Roméo Lavia,45000,57150,5.669642857,2340000,2971800,,45156,#REF!,Reserve,M,DM,20,Belgium,Chelsea,Premier League,
Malo Gusto,45000,57150,5.669642857,2340000,2971800,,44955,#REF!,Starter,D,RB,21,France,Chelsea,Premier League,
Daniel Muñoz,45000,57150,5.669642857,2340000,2971800,,45321,#REF!,Starter,D,RB,28,Colombia,Crystal Palace,Premier League,
Rob Holding,45000,57150,5.669642857,2340000,2971800,,45170,#REF!,Reserve,D,CB,28,England,Crystal Palace,Premier League,
Iliman Ndiaye,45000,57150,5.669642857,2340000,2971800,,45476,#REF!,Starter,F,CF,24,Senegal,Everton,Premier League,
Calvin Bassey,45000,57150,5.669642857,2340000,2971800,,45135,#REF!,Starter,D,CB,24,Nigeria,Fulham,Premier League,
Ryan Sessegnon,45000,57150,5.669642857,2340000,2971800,,45499,#REF!,Reserve,D,LB,24,England,Fulham,Premier League,
Tom Heaton,45000,57150,5.669642857,2340000,2971800,,45475,#REF!,Reserve,K,GK,38,England,Manchester United,Premier League,
Fabian Schär,45000,57150,5.669642857,2340000,2971800,,45299,#REF!,Starter,D,CB,32,Switzerland,Newcastle United,Premier League,
Adam Lallana,45000,57150,5.669642857,2340000,2971800,,45474,#REF!,Reserve,F,AM,36,England,Southampton,Premier League,
Jack Stephens,45000,57150,5.669642857,2340000,2971800,,45142,#REF!,Reserve,D,CB,30,England,Southampton,Premier League,
Lesley Ugochukwu,45000,57150,5.669642857,2340000,2971800,,45520,#REF!,Reserve,M,DM,20,France,Southampton,Premier League,
Craig Dawson,45000,57150,5.669642857,2340000,2971800,,44948,#REF!,Starter,D,CB,34,England,Wolverhampton Wanderers,Premier League,
Mario Lemina,45000,57150,5.669642857,2340000,2971800,,44939,#REF!,Starter,M,DM,31,Gabon,Wolverhampton Wanderers,Premier League,
 Salih Uçan                ,44808,56906.16,5.645452381,2330000,2959100,                 ," Jun 28, 2024     ",#REF!, Reserve , M    , CM   ,30, Turkey                           ,Besiktas,UEFA Europa League,
Hamed Junior Traoré,52500,56700,5.625,2730000,2948400,,45531,#REF!,Starter,F,AM,24,Cote d'Ivoire,AS Monaco,Ligue 1,
M'Bala Nzola,52500,56700,5.625,2730000,2948400,,45513,#REF!,Starter,F,CF,28,Angola,Le Havre,Ligue 1,
Valentín Carboni,52500,56700,5.625,2730000,2948400,,45511,#REF!,Starter,F,AM,19,Argentina,Lyon,Ligue 1,
Désiré Doué,52500,56700,5.625,2730000,2948400,,45521,#REF!,Reserve,F,LW,19,France,Paris Saint-Germain,Ligue 1,
Ernest Nuamah,52308,56492.64,5.604428571,2720000,2937600,,45480,#REF!,Reserve,F,RW,20,Ghana,Lille,Ligue 1,
 Tiago Djaló              ,44423,56417.21,5.596945437,2310000,2933700,                 ," Sep 2, 2024      ",#REF!, Reserve , D    , CB   ,24, Portugal                         ,Porto,UEFA Europa League,
Caio Henrique,51923,56076.84,5.563178571,2700000,2916000,,44785,#REF!,Reserve,D,LB,27,Brazil,Marseille,Ligue 1,
Álvaro Odriozola,51923,56076.84,5.563178571,2700000,2916000,,45170,#REF!,Reserve,D,RB,28,Spain,Real Sociedad,La Liga,
Ihlas Bebou,51923,56076.84,5.563178571,2700000,2916000,,44547,#REF!,Reserve,F,CF,30,Togo,TSG Hoffenheim,Bundesliga,
Steve Mounié,50769,54830.52,5.439535714,2640000,2851200,,45478,#REF!,Starter,F,CF,29,Benin,FC Augsburg,Bundesliga,
Lukas Hradecky,50000,54000,5.357142857,2600000,2808000,,44803,#REF!,Starter,K,GK,34,Finland,Bayer Leverkusen,Bundesliga,
Morgan Sanson,50000,54000,5.357142857,2600000,2808000,,45474,#REF!,Reserve,M,CM,30,France,Nice,Ligue 1,
Ludovic Blas,50000,54000,5.357142857,2600000,2808000,,45112,#REF!,Starter,F,RW,26,France,Rennes,Ligue 1,
Lucas Tousart,50000,54000,5.357142857,2600000,2808000,,45126,#REF!,Reserve,M,DM,27,France,Union Berlin,Bundesliga,
Carles Pérez,49231,53169.48,5.27475,2560000,2764800,,45503,#REF!,Starter,F,RW,26,Spain,Getafe,La Liga,
Gerónimo Rulli,48846,52753.68,5.2335,2540000,2743200,,45515,#REF!,Starter,K,GK,32,Argentina,Lyon,Ligue 1,
Mauro Arambarri,48462,52338.96,5.192357143,2520000,2721600,,44963,#REF!,Starter,M,CM,28,Uruguay,Getafe,La Liga,
Ki-Jana Hoever,48077,51923.16,5.151107143,2500000,2700000,,45525,#REF!,Starter,D,RB,22,Netherlands,AS Monaco,Ligue 1,
Oihan Sancet,48077,51923.16,5.151107143,2500000,2700000,,45017,#REF!,Starter,F,AM,24,Spain,Athletic Bilbao,La Liga,
Giovanni Reyna,48077,51923.16,5.151107143,2500000,2700000,,45322,#REF!,Reserve,F,AM,21,United States,Borussia Dortmund,Bundesliga,
Stefan Lainer,48077,51923.16,5.151107143,2500000,2700000,,45461,#REF!,Reserve,D,RB,32,Austria,Borussia Monchengladbach,Bundesliga,
Bryan Gil,48077,51923.16,5.151107143,2500000,2700000,,45502,#REF!,Reserve,F,LW,23,Spain,Girona,La Liga,
Sébastien Haller,48077,51923.16,5.151107143,2500000,2700000,,45534,#REF!,Starter,F,CF,30,Cote d'Ivoire,Leganes,La Liga,
Rubén Blanco,48077,51923.16,5.151107143,2500000,2700000,,45137,#REF!,Reserve,K,GK,29,Spain,Lyon,Ligue 1,
Christoph Baumgartner,48077,51923.16,5.151107143,2500000,2700000,,45108,#REF!,Reserve,F,AM,25,Austria,RB Leipzig,Bundesliga,
Kevin Kampl,48077,51923.16,5.151107143,2500000,2700000,,45218,#REF!,Reserve,M,CM,33,Slovenia,RB Leipzig,Bundesliga,
Ricardo Rodríguez,48077,51923.16,5.151107143,2500000,2700000,,45509,#REF!,Starter,D,LB,32,Switzerland,Real Betis,La Liga,
Takefusa Kubo,48077,51923.16,5.151107143,2500000,2700000,,45334,#REF!,Starter,F,RW,23,Japan,Real Sociedad,La Liga,
Florian Grillitsch,48077,51923.16,5.151107143,2500000,2700000,,45108,#REF!,Starter,M,DM,29,Austria,TSG Hoffenheim,Bundesliga,
Chris Führich,48077,51923.16,5.151107143,2500000,2700000,,45323,#REF!,Reserve,F,LW,26,Germany,VfB Stuttgart,Bundesliga,
Leonardo Bittencourt,48077,51923.16,5.151107143,2500000,2700000,,44860,#REF!,Reserve,M,CM,30,Germany,Werder Bremen,Bundesliga,
Naby Keïta,48077,51923.16,5.151107143,2500000,2700000,,45108,#REF!,Reserve,M,CM,29,Guinea,Werder Bremen,Bundesliga,
 Soualiho Meïté           ,40769,51776.63,5.136570437,2120000,2692400,                 ," Jul 23, 2021     ",#REF!, Reserve , M    , CM   ,30, France                           ,Benfica,UEFA Champions League,
 Marko Grujic             ,40577,51532.79,5.11237996,2110000,2679700,                 ," Jul 1, 2022      ",#REF!, Reserve , M    , DM   ,28, Serbia                           ,Porto,UEFA Europa League,
 Pepê                     ,40385,51288.95,5.088189484,2100000,2667000,                 ," Oct 7, 2022      ",#REF!, Starter , F    , LW   ,27, Brazil                           ,Porto,UEFA Europa League,
Robin Koch,47308,51092.64,5.068714286,2460000,2656800,,45474,#REF!,Starter,D,CB,28,Germany,Eintracht Frankfurt,Bundesliga,
Tim Kleindienst,47115,50884.2,5.048035714,2450000,2646000,,45474,#REF!,Starter,F,CF,29,Germany,Borussia Monchengladbach,Bundesliga,
Frank Onyeka,47115,50884.2,5.048035714,2450000,2646000,,45534,#REF!,Starter,M,CM,26,Nigeria,FC Augsburg,Bundesliga,
 Cenk Tosun                ,40000,50800,5.03968254,2080000,2641600,                 ," Jul 16, 2024     ",#REF!, Reserve , F    , CF   ,33, Turkey                           ,Fenerbahce,UEFA Europa League,
Jaden Philogene-Bidace,40000,50800,5.03968254,2080000,2641600,,45492,#REF!,Starter,F,LW,22,England,Aston Villa,Premier League,
Alex Scott,40000,50800,5.03968254,2080000,2641600,,45148,#REF!,Reserve,M,CM,21,England,Bournemouth,Premier League,
Adam Smith,40000,50800,5.03968254,2080000,2641600,,45547,#REF!,Starter,D,RB,33,England,Bournemouth,Premier League,
Fábio Carvalho,40000,50800,5.03968254,2080000,2641600,,45516,#REF!,Reserve,F,AM,22,Portugal,Brentford,Premier League,
Kristoffer Ajer,40000,50800,5.03968254,2080000,2641600,,45251,#REF!,Starter,D,CB,26,Norway,Brentford,Premier League,
Yankuba Minteh,40000,50800,5.03968254,2080000,2641600,,45474,#REF!,Starter,F,RW,20,The Gambia,Brighton & Hove Albion,Premier League,
Matheus França,40000,50800,5.03968254,2080000,2641600,,45143,#REF!,Reserve,F,AM,20,Brazil,Crystal Palace,Premier League,
Matt Turner,40000,50800,5.03968254,2080000,2641600,,45534,#REF!,Reserve,K,GK,30,United States,Crystal Palace,Premier League,
Tyrick Mitchell,40000,50800,5.03968254,2080000,2641600,,44299,#REF!,Starter,D,LB,25,England,Crystal Palace,Premier League,
Ashley Young,40000,50800,5.03968254,2080000,2641600,,45468,#REF!,Starter,D,LB,39,England,Everton,Premier League,
Armando Broja,40000,50800,5.03968254,2080000,2641600,,45534,#REF!,Reserve,F,CF,22,Albania,Everton,Premier League,
Carlos Vinícius,40000,50800,5.03968254,2080000,2641600,,44805,#REF!,Reserve,F,CF,29,Brazil,Fulham,Premier League,
Axel Tuanzebe,40000,50800,5.03968254,2080000,2641600,,45446,#REF!,Reserve,D,CB,26,Democratic Republic of the Congo,Ipswich Town,Premier League,
Danny Ward,40000,50800,5.03968254,2080000,2641600,,44301,#REF!,Reserve,K,GK,31,Wales,Leicester City,Premier League,
Harvey Elliott,40000,50800,5.03968254,2080000,2641600,,44784,#REF!,Reserve,M,CM,21,England,Liverpool,Premier League,
Sávio,40000,50800,5.03968254,2080000,2641600,,45491,#REF!,Reserve,F,RW,20,Brazil,Manchester City,Premier League,
Martin Dubravka,40000,50800,5.03968254,2080000,2641600,,43762,#REF!,Reserve,K,GK,35,Slovakia,Newcastle United,Premier League,
Jamaal Lascelles,40000,50800,5.03968254,2080000,2641600,,44993,#REF!,Reserve,D,CB,30,England,Newcastle United,Premier League,
Ola Aina,40000,50800,5.03968254,2080000,2641600,,45433,#REF!,Starter,D,RB,27,Nigeria,Nottingham Forest,Premier League,
Willy Boly,40000,50800,5.03968254,2080000,2641600,,45433,#REF!,Reserve,D,CB,33,Cote d'Ivoire,Nottingham Forest,Premier League,
Emmanuel Dennis,40000,50800,5.03968254,2080000,2641600,,44786,#REF!,Reserve,F,CF,26,Nigeria,Nottingham Forest,Premier League,
Elliot Anderson,40000,50800,5.03968254,2080000,2641600,,45474,#REF!,Starter,M,CM,21,England,Nottingham Forest,Premier League,
Kamaldeen Sulemana,40000,50800,5.03968254,2080000,2641600,,44957,#REF!,Reserve,F,LW,22,Ghana,Southampton,Premier League,
Cameron Archer,40000,50800,5.03968254,2080000,2641600,,45520,#REF!,Reserve,F,CF,22,England,Southampton,Premier League,
Yukinari Sugawara,40000,50800,5.03968254,2080000,2641600,,45487,#REF!,Starter,D,RB,24,Japan,Southampton,Premier League,
Alex McCarthy,40000,50800,5.03968254,2080000,2641600,,45471,#REF!,Reserve,K,GK,34,England,Southampton,Premier League,
Ryan Fraser,40000,50800,5.03968254,2080000,2641600,,45534,#REF!,Reserve,F,LW,30,Scotland,Southampton,Premier League,
José Sá,40000,50800,5.03968254,2080000,2641600,,45198,#REF!,Reserve,K,GK,31,Portugal,Wolverhampton Wanderers,Premier League,
Sam Johnstone,40000,50800,5.03968254,2080000,2641600,,45534,#REF!,Starter,K,GK,31,England,Wolverhampton Wanderers,Premier League,
Yeray Álvarez,46154,49846.32,4.945071429,2400000,2592000,,43664,#REF!,Reserve,D,CB,29,Spain,Athletic Bilbao,La Liga,
Luca Netz,46154,49846.32,4.945071429,2400000,2592000,,44414,#REF!,Starter,D,LB,21,Germany,Borussia Monchengladbach,Bundesliga,
Vicente Guaita,46154,49846.32,4.945071429,2400000,2592000,,45170,#REF!,Starter,K,GK,37,Spain,Celta Vigo,La Liga,
Moses Simon,46154,49846.32,4.945071429,2400000,2592000,,45282,#REF!,Starter,F,LW,29,Nigeria,Nantes,Ligue 1,
Chimy Ávila,46154,49846.32,4.945071429,2400000,2592000,,45323,#REF!,Reserve,F,CF,30,Argentina,Real Betis,La Liga,
Juanmi,46154,49846.32,4.945071429,2400000,2592000,,44929,#REF!,Reserve,F,LW,31,Spain,Real Betis,La Liga,
Hamari Traoré,46154,49846.32,4.945071429,2400000,2592000,,45108,#REF!,Reserve,D,RB,32,Mali,Real Sociedad,La Liga,
Kevin Volland,46154,49846.32,4.945071429,2400000,2592000,,45155,#REF!,Reserve,F,CF,32,Germany,Union Berlin,Bundesliga,
 Lucas Lima                ,39038,49578.26,4.918478175,2030000,2578100,                 ," Jul 21, 2022     ",#REF!, Starter , D    , LB   ,32, Brazil                           ,Istanbul Basaksehir,UEFA Conference League,
Duje Caleta-Car,45385,49015.8,4.862678571,2360000,2548800,,45481,#REF!,Starter,D,CB,27,Croatia,Lille,Ligue 1,
Jota,45385,49015.8,4.862678571,2360000,2548800,,45534,#REF!,Reserve,F,LW,25,Portugal,Rennes,Ligue 1,
 Baktiyar Zaynutdinov      ,38462,48846.74,4.845906746,2000000,2540000,                 ," Aug 21, 2023     ",#REF!, Reserve , F    , AM   ,26, Kazakhstan                       ,Besiktas,UEFA Europa League,
 Mert Müldür               ,38462,48846.74,4.845906746,2000000,2540000,                 ," Aug 2, 2023      ",#REF!, Starter , D    , RB   ,25, Turkey                           ,Fenerbahce,UEFA Europa League,
 Wendell                  ,38462,48846.74,4.845906746,2000000,2540000,                 ," Aug 19, 2021     ",#REF!, Reserve , D    , LB   ,31, Brazil                           ,Porto,UEFA Europa League,
 Morten Hjulmand          ,38462,48846.74,4.845906746,2000000,2540000,                 ," Aug 13, 2023     ",#REF!, Starter , M    , DM   ,25, Denmark                          ,Sporting CP,UEFA Champions League,
William Carvalho,45192,48807.36,4.842,2350000,2538000,,44806,#REF!,Reserve,M,DM,32,Portugal,Real Betis,La Liga,
 Luuk de Jong                   ,38077,48357.79,4.797399802,1980000,2514600,                 ," Jul 2, 2022      ",#REF!, Starter , F    , CF   ,34, Netherlands                      ,PSV Eindhoven,UEFA Champions League,
 Jerdy Schouten                 ,37692,47868.84,4.748892857,1960000,2489200,                 ," Aug 16, 2023     ",#REF!, Starter , M    , DM   ,27, Netherlands                      ,PSV Eindhoven,UEFA Champions League,
Sergio Gómez,44231,47769.48,4.739035714,2300000,2484000,,45485,#REF!,Starter,F,RW,23,Spain,Real Sociedad,La Liga,
Natan,44038,47561.04,4.718357143,2290000,2473200,,45519,#REF!,Starter,D,CB,23,Brazil,Real Betis,La Liga,
Steve Mandanda,43846,47353.68,4.697785714,2280000,2462400,,45299,#REF!,Starter,K,GK,39,France,Rennes,Ligue 1,
Kristijan Jakic,43462,46938.96,4.656642857,2260000,2440800,,45474,#REF!,Starter,M,DM,27,Croatia,FC Augsburg,Bundesliga,
Valentin Gendrey,43462,46938.96,4.656642857,2260000,2440800,,45531,#REF!,Starter,D,RB,24,France,TSG Hoffenheim,Bundesliga,
Marvin Ducksch,43462,46938.96,4.656642857,2260000,2440800,,45111,#REF!,Starter,F,CF,30,Germany,Werder Bremen,Bundesliga,
 Florentino               ,36923,46892.21,4.65200496,1920000,2438400,                 ," Oct 14, 2022     ",#REF!, Starter , M    , DM   ,25, Portugal                         ,Benfica,UEFA Champions League,
 Fredrik Aursnes          ,36923,46892.21,4.65200496,1920000,2438400,                 ," Aug 24, 2022     ",#REF!, Reserve , M    , CM   ,28, Norway                           ,Benfica,UEFA Champions League,
 Berat Özdemir             ,36923,46892.21,4.65200496,1920000,2438400,                 ," Aug 10, 2024     ",#REF!, Reserve , M    , DM   ,26, Turkey                           ,Istanbul Basaksehir,UEFA Conference League,
 Jeremiah St. Juste       ,36923,46892.21,4.65200496,1920000,2438400,                 ," Jul 1, 2022      ",#REF!, Reserve , D    , CB   ,27, Netherlands                      ,Sporting CP,UEFA Champions League,
Sergi Darder,43269,46730.52,4.635964286,2250000,2430000,,45149,#REF!,Starter,M,CM,30,Spain,Mallorca,La Liga,
 Iván Marcano             ,36538,46403.26,4.603498016,1900000,2413000,                 ," Jun 28, 2023     ",#REF!, Reserve , D    , CB   ,37, Spain                            ,Porto,UEFA Europa League,
Djené,42308,45692.64,4.533,2200000,2376000,,42940,#REF!,Starter,D,CB,32,Togo,Getafe,La Liga,
Ainsley Maitland-Niles,42308,45692.64,4.533,2200000,2376000,,45145,#REF!,Starter,D,RB,27,England,Lille,Ligue 1,
Nicolas Seiwald,42308,45692.64,4.533,2200000,2376000,,45108,#REF!,Reserve,M,CM,23,Austria,RB Leipzig,Bundesliga,
Brais Méndez,42308,45692.64,4.533,2200000,2376000,,44748,#REF!,Reserve,F,AM,27,Spain,Real Sociedad,La Liga,
Aritz Elustondo,42308,45692.64,4.533,2200000,2376000,,44990,#REF!,Reserve,D,CB,30,Spain,Real Sociedad,La Liga,
Alfonso Pedraza,42308,45692.64,4.533,2200000,2376000,,44707,#REF!,Reserve,D,LB,28,Spain,Villarreal,La Liga,
Leo Østigård,42115,45484.2,4.512321429,2190000,2365200,,45503,#REF!,Starter,D,CB,24,Norway,Rennes,Ligue 1,
Pierre Lees-Melou,41923,45276.84,4.49175,2180000,2354400,,45247,#REF!,Reserve,M,DM,31,France,Auxerre,Ligue 1,
Romain Faivre,41923,45276.84,4.49175,2180000,2354400,,45520,#REF!,Reserve,M,RM,26,France,Auxerre,Ligue 1,
Tanner Tessmann,41923,45276.84,4.49175,2180000,2354400,,45531,#REF!,Reserve,M,DM,22,United States,Lille,Ligue 1,
Joshua King,41923,45276.84,4.49175,2180000,2354400,,45533,#REF!,Starter,F,LW,32,Norway,Toulouse,Ligue 1,
 Zeki Amdouni             ,35577,45182.79,4.482419643,1850000,2349500,                 ," Aug 29, 2024     ",#REF!, Reserve , F    , CF   ,23, Switzerland                      ,Benfica,UEFA Champions League,
Ludovic Ajorque,41538,44861.04,4.4505,2160000,2332800,,45498,#REF!,Starter,F,CF,30,France,Auxerre,Ligue 1,
Gaëtan Laborde,41538,44861.04,4.4505,2160000,2332800,,44805,#REF!,Reserve,F,CF,30,France,Nice,Ligue 1,
Dennis Geiger,41538,44861.04,4.4505,2160000,2332800,,45036,#REF!,Reserve,M,CM,26,Germany,TSG Hoffenheim,Bundesliga,
 Victor Nelsson            ,35192,44693.84,4.433912698,1830000,2324100,                 ," Aug 11, 2021     ",#REF!, Reserve , D    , CB   ,25, Denmark                          ,Galatasaray,UEFA Europa League,
Dango Ouattara,35000,44450,4.409722222,1820000,2311400,,44945,#REF!,Reserve,F,LW,22,Burkina Faso,Bournemouth,Premier League,
Marcus Tavernier,35000,44450,4.409722222,1820000,2311400,,45093,#REF!,Starter,M,LM,25,England,Bournemouth,Premier League,
Max Aarons,35000,44450,4.409722222,1820000,2311400,,45148,#REF!,Reserve,D,RB,24,England,Bournemouth,Premier League,
Keane Lewis-Potter,35000,44450,4.409722222,1820000,2311400,,44754,#REF!,Starter,F,LW,23,England,Brentford,Premier League,
Christian Nørgaard,35000,44450,4.409722222,1820000,2311400,,44562,#REF!,Starter,M,DM,30,Denmark,Brentford,Premier League,
